param zimag:1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	:=
1	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.000	
2	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.000	
3	0.010	0.010	0.014	0.014	0.014	0.014	0.014	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.000	
4	0.010	0.010	0.014	0.018	0.018	0.018	0.014	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.000	
5	0.010	0.010	0.014	0.018	0.021	0.021	0.014	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.000	
6	0.010	0.010	0.014	0.018	0.021	0.025	0.014	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.000	
7	0.010	0.010	0.014	0.014	0.014	0.014	0.018	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.000	
8	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.019	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.000	
9	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.000	
10	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.021	0.021	0.021	0.010	0.010	0.021	0.021	0.000	
11	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.021	0.027	0.027	0.010	0.010	0.021	0.021	0.000	
12	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.021	0.027	0.032	0.010	0.010	0.021	0.021	0.000	
13	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.016	0.016	0.010	0.010	0.000	
14	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.016	0.022	0.010	0.010	0.000	
15	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.021	0.021	0.021	0.010	0.010	0.027	0.027	0.000	
16	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.021	0.021	0.021	0.010	0.010	0.027	0.034	0.000	
17	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	;
